"","DATE","ATM","Cash"
"1",2010-05-01,"ATM1",87.9885405970746
"2",2010-05-02,"ATM1",101.219568931974
"3",2010-05-03,"ATM1",73.4005506087965
"4",2010-05-04,"ATM1",5.31293986886918
"5",2010-05-05,"ATM1",100.480766127343
"6",2010-05-06,"ATM1",79.7095649976821
"7",2010-05-07,"ATM1",86.3948886043963
"8",2010-05-08,"ATM1",87.9885405970746
"9",2010-05-09,"ATM1",101.219568931974
"10",2010-05-10,"ATM1",73.4005506087965
"11",2010-05-11,"ATM1",5.31293986886918
"12",2010-05-12,"ATM1",100.480766127343
"13",2010-05-13,"ATM1",79.7095649976821
"14",2010-05-14,"ATM1",86.3948886043963
"15",2010-05-15,"ATM1",87.9885405970746
"16",2010-05-16,"ATM1",101.219568931974
"17",2010-05-17,"ATM1",73.4005506087965
"18",2010-05-18,"ATM1",5.31293986886918
"19",2010-05-19,"ATM1",100.480766127343
"20",2010-05-20,"ATM1",79.7095649976821
"21",2010-05-21,"ATM1",86.3948886043963
"22",2010-05-22,"ATM1",87.9885405970746
"23",2010-05-23,"ATM1",101.219568931974
"24",2010-05-24,"ATM1",73.4005506087965
"25",2010-05-25,"ATM1",5.31293986886918
"26",2010-05-26,"ATM1",100.480766127343
"27",2010-05-27,"ATM1",79.7095649976821
"28",2010-05-28,"ATM1",86.3948886043963
"29",2010-05-29,"ATM1",87.9885405970746
"30",2010-05-30,"ATM1",101.219568931974
"31",2010-05-31,"ATM1",73.4005506087965
"32",2010-05-01,"ATM2",65.3842689668396
"33",2010-05-02,"ATM2",71.214242756283
"34",2010-05-03,"ATM2",11.6599967322683
"35",2010-05-04,"ATM2",2.42925801596284
"36",2010-05-05,"ATM2",97.9053126879538
"37",2010-05-06,"ATM2",89.0084264637871
"38",2010-05-07,"ATM2",65.8811763555937
"39",2010-05-08,"ATM2",65.4344477874497
"40",2010-05-09,"ATM2",71.2537784811113
"41",2010-05-10,"ATM2",11.6268524427489
"42",2010-05-11,"ATM2",2.42635250026377
"43",2010-05-12,"ATM2",97.9720878909186
"44",2010-05-13,"ATM2",88.9909104310711
"45",2010-05-14,"ATM2",65.8357951779324
"46",2010-05-15,"ATM2",65.4671990535352
"47",2010-05-16,"ATM2",71.2815004560238
"48",2010-05-17,"ATM2",11.6048222902083
"49",2010-05-18,"ATM2",2.42403296669607
"50",2010-05-19,"ATM2",98.0171019502885
"51",2010-05-20,"ATM2",88.9802471722115
"52",2010-05-21,"ATM2",65.8047911505442
"53",2010-05-22,"ATM2",65.4885353224726
"54",2010-05-23,"ATM2",71.3008914460353
"55",2010-05-24,"ATM2",11.5901892176244
"56",2010-05-25,"ATM2",2.42222822862236
"57",2010-05-26,"ATM2",98.0474201209587
"58",2010-05-27,"ATM2",88.9738332879443
"59",2010-05-28,"ATM2",65.7836298000773
"60",2010-05-29,"ATM2",65.5024076862644
"61",2010-05-30,"ATM2",71.3144246518544
"62",2010-05-31,"ATM2",11.5804771351706
"63",2010-05-01,"atm3",87.6666666666667
"64",2010-05-02,"atm3",87.6666666666667
"65",2010-05-03,"atm3",87.6666666666667
"66",2010-05-04,"atm3",87.6666666666667
"67",2010-05-05,"atm3",87.6666666666667
"68",2010-05-06,"atm3",87.6666666666667
"69",2010-05-07,"atm3",87.6666666666667
"70",2010-05-08,"atm3",87.6666666666667
"71",2010-05-09,"atm3",87.6666666666667
"72",2010-05-10,"atm3",87.6666666666667
"73",2010-05-11,"atm3",87.6666666666667
"74",2010-05-12,"atm3",87.6666666666667
"75",2010-05-13,"atm3",87.6666666666667
"76",2010-05-14,"atm3",87.6666666666667
"77",2010-05-15,"atm3",87.6666666666667
"78",2010-05-16,"atm3",87.6666666666667
"79",2010-05-17,"atm3",87.6666666666667
"80",2010-05-18,"atm3",87.6666666666667
"81",2010-05-19,"atm3",87.6666666666667
"82",2010-05-20,"atm3",87.6666666666667
"83",2010-05-21,"atm3",87.6666666666667
"84",2010-05-22,"atm3",87.6666666666667
"85",2010-05-23,"atm3",87.6666666666667
"86",2010-05-24,"atm3",87.6666666666667
"87",2010-05-25,"atm3",87.6666666666667
"88",2010-05-26,"atm3",87.6666666666667
"89",2010-05-27,"atm3",87.6666666666667
"90",2010-05-28,"atm3",87.6666666666667
"91",2010-05-29,"atm3",87.6666666666667
"92",2010-05-30,"atm3",87.6666666666667
"93",2010-05-31,"atm3",87.6666666666667
"94",2010-05-01,"ATM4",428.30304703302
"95",2010-05-02,"ATM4",462.770799436589
"96",2010-05-03,"ATM4",417.016393082713
"97",2010-05-04,"ATM4",632.973477780129
"98",2010-05-05,"ATM4",364.392815820479
"99",2010-05-06,"ATM4",253.007881377066
"100",2010-05-07,"ATM4",393.462614891105
"101",2010-05-08,"ATM4",428.30304703302
"102",2010-05-09,"ATM4",462.770799436589
"103",2010-05-10,"ATM4",417.016393082713
"104",2010-05-11,"ATM4",632.973477780129
"105",2010-05-12,"ATM4",364.392815820479
"106",2010-05-13,"ATM4",253.007881377066
"107",2010-05-14,"ATM4",393.462614891105
"108",2010-05-15,"ATM4",428.30304703302
"109",2010-05-16,"ATM4",462.770799436589
"110",2010-05-17,"ATM4",417.016393082713
"111",2010-05-18,"ATM4",632.973477780129
"112",2010-05-19,"ATM4",364.392815820479
"113",2010-05-20,"ATM4",253.007881377066
"114",2010-05-21,"ATM4",393.462614891105
"115",2010-05-22,"ATM4",428.30304703302
"116",2010-05-23,"ATM4",462.770799436589
"117",2010-05-24,"ATM4",417.016393082713
"118",2010-05-25,"ATM4",632.973477780129
"119",2010-05-26,"ATM4",364.392815820479
"120",2010-05-27,"ATM4",253.007881377066
"121",2010-05-28,"ATM4",393.462614891105
"122",2010-05-29,"ATM4",428.30304703302
"123",2010-05-30,"ATM4",462.770799436589
"124",2010-05-31,"ATM4",417.016393082713
